"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.705541668E-3,-4.218078461E0,3.193608856E0,5.571264496E0,7.683118606E0
1.175254166E-2,-4.073030090E0,3.624562683E0,6.404132538E0,8.410704033E0
2.179954166E-2,-4.483326874E0,4.204756165E0,6.515800323E0,8.957446518E0
3.184554167E-2,-4.948260040E0,4.705315247E0,6.544540558E0,9.458133014E0
4.189254166E-2,-4.727319489E0,4.699028320E0,6.824458466E0,9.539478500E0
5.193854167E-2,-4.435426483E0,4.520299988E0,6.491850128E0,9.069191703E0
6.198554166E-2,-4.145030365E0,4.542154541E0,6.238277435E0,8.759483430E0
7.203233334E-2,-3.626658325E0,4.428840179E0,6.474635925E0,8.642232715E0
8.207833333E-2,-2.941233673E0,4.036506042E0,6.950196991E0,8.558590700E0
9.212533334E-2,-2.478396149E0,3.612587585E0,7.268884277E0,8.487043959E0
1.021723333E-1,-2.579136658E0,3.407663727E0,7.552394714E0,8.677717666E0
1.122183333E-1,-3.048859863E0,3.473227386E0,7.672744446E0,8.957112385E0
1.222653333E-1,-3.318149872E0,3.558400269E0,7.440577240E0,8.890136147E0
1.323123333E-1,-3.356170807E0,3.529660034E0,7.089108124E0,8.601036939E0
1.423583333E-1,-3.263962555E0,3.540287933E0,6.545588379E0,8.125996397E0
1.524053333E-1,-3.328478394E0,3.701652374E0,6.408623199E0,8.114890636E0
1.624513333E-1,-3.532803497E0,3.735781403E0,6.365812225E0,8.182929092E0
1.724983333E-1,-3.284918976E0,3.593876495E0,6.201603699E0,7.884575409E0
1.825453333E-1,-3.090024261E0,3.383414154E0,6.320606232E0,7.806779388E0
1.925913333E-1,-2.908451843E0,3.237168274E0,6.417005768E0,7.753471067E0
2.026383333E-1,-2.652334442E0,3.126248932E0,6.326144714E0,7.538462531E0
2.126853333E-1,-2.278412018E0,2.850671997E0,6.001320190E0,7.023769372E0
2.227313333E-1,-2.265987854E0,2.700534210E0,5.591173096E0,6.609750567E0
2.327783333E-1,-2.440375214E0,2.897524567E0,5.158872070E0,6.400393803E0
2.428243333E-1,-2.180066528E0,2.653831329E0,5.149291992E0,6.189565317E0
2.528713333E-1,-1.817071381E0,2.314187622E0,5.757926331E0,6.466137052E0
2.629183333E-1,-1.507515106E0,1.744472351E0,6.527176666E0,6.922414377E0
2.729643333E-1,-1.285077667E0,1.188678131E0,7.022496643E0,7.237391755E0
2.830113333E-1,-1.178948364E0,1.189127197E0,7.361092529E0,7.549147367E0
2.930583333E-1,-1.148411865E0,1.046174469E0,7.685168610E0,7.840608866E0
3.031043333E-1,-6.771917725E-1,5.044509888E-1,8.429271240E0,8.471462279E0
3.131513333E-1,-2.445913696E-1,3.622467041E-2,9.430688782E0,9.433929619E0
3.231973333E-1,-4.414320374E-1,2.136058044E-1,9.939780121E0,9.951870102E0
3.332443333E-1,-1.081351318E0,6.122268677E-2,9.917326813E0,9.976293901E0
3.432913333E-1,-1.836081848E0,-2.442919922E-1,9.405541077E0,9.586192053E0
3.533373333E-1,-2.174677734E0,-4.345463562E-1,8.637937317E0,8.918072374E0
3.633843333E-1,-2.541714478E0,-1.260977783E0,8.008795624E0,8.496539578E0
3.734313333E-1,-1.992057495E0,-2.095193024E0,8.754245453E0,9.219270054E0
3.834773333E-1,2.983296204E-1,-2.453398132E0,1.043524979E1,1.072392657E1
3.935243333E-1,1.246308289E0,-2.226170654E0,1.165042282E1,1.192650293E1
4.035713333E-1,7.056326294E-1,-1.252295837E0,1.186088516E1,1.194766752E1
4.136173333E-1,-4.363426208E-1,-3.252735901E-1,1.107457031E1,1.108793513E1
4.236643333E-1,-1.423390045E0,3.915856934E-1,1.119566849E1,1.129258037E1
4.337103333E-1,-2.396217041E0,7.719447327E-1,1.195863190E1,1.222074595E1
4.437573333E-1,-3.172951813E0,7.527845764E-1,1.248059647E1,1.289959674E1
4.538043333E-1,-3.499572601E0,7.375163269E-1,1.206101898E1,1.258010801E1
4.638503333E-1,-3.409010925E0,5.035528564E-1,1.089509354E1,1.142707242E1
4.738973333E-1,-3.310216370E0,2.177970886E-1,9.675878906E0,1.022876340E1
4.839433333E-1,-3.292852478E0,-1.257385254E-2,8.495733032E0,9.111559433E0
4.939903333E-1,-2.603835297E0,-2.481838989E-1,7.225474548E0,7.684337053E0
5.040373333E-1,-1.416204987E0,-5.195695496E-1,6.195316772E0,6.376326450E0
5.140833333E-1,-6.676116943E-1,-5.453160095E-1,5.794899445E0,5.858663201E0
5.241303333E-1,-5.209167480E-1,-1.883084106E-1,5.473368073E0,5.501324602E0
5.341773333E-1,-5.319937134E-1,3.941304016E-1,5.384303284E0,5.424857412E0
5.442233333E-1,-7.554789734E-1,1.156944122E0,5.382057953E0,5.556601118E0
5.542703333E-1,-1.087189178E0,1.955683136E0,5.436544647E0,5.879004553E0
5.643163333E-1,-1.185085602E0,2.542612610E0,5.968688049E0,6.595039333E0
5.743633333E-1,-1.080902252E0,2.637066193E0,7.145391083E0,7.692794129E0
5.844103333E-1,-1.043330383E0,1.866019592E0,7.436385956E0,7.737596752E0
5.944563333E-1,-4.228706360E-1,7.060816956E-1,6.644532623E0,6.695310651E0
6.045033333E-1,-2.715353394E-1,-1.562750244E-1,6.299949188E0,6.307734387E0
6.145503333E-1,-1.589694214E-1,-6.982978821E-1,5.538931732E0,5.585038580E0
6.245963333E-1,1.505868530E-1,-9.084608459E-1,5.226531372E0,5.307033794E0
6.346433333E-1,3.305126953E-1,-6.764433289E-1,5.480553131E0,5.532022853E0
6.446893333E-1,-4.269122314E-1,8.083190918E-3,5.607489166E0,5.623722445E0
6.547363333E-1,-1.488953705E0,1.070424042E0,5.528004456E0,5.824227333E0
6.647833333E-1,-2.247576141E0,2.129621429E0,5.595663757E0,6.395180907E0
6.748293333E-1,-2.171833649E0,2.426753540E0,5.545368347E0,6.430948938E0
6.848763333E-1,-1.136436768E0,1.706152039E0,5.680686951E0,6.039258857E0
6.949233333E-1,-2.547702026E-1,5.355862427E-1,5.807323608E0,5.837530983E0
7.049693333E-1,3.007246399E-1,-7.152127075E-1,5.619763641E0,5.673068650E0
7.150163333E-1,2.639012146E-1,-1.591340790E0,5.155279541E0,5.401751244E0
7.250623333E-1,-9.310638428E-2,-1.836979980E0,4.882546692E0,5.217511519E0
7.351093333E-1,-1.044228516E0,-9.229806519E-1,4.943919067E0,5.136598312E0
7.451563333E-1,-2.461631012E0,6.435118103E-1,5.589227142E0,6.141106964E0
7.552023333E-1,-2.648143158E0,1.595681763E0,6.744973755E0,7.419806832E0
7.652493333E-1,-2.250120850E0,1.466051331E0,7.645501099E0,8.103458360E0
7.752963333E-1,-1.681603088E0,3.972738647E-1,7.850275269E0,8.038186192E0
7.853423333E-1,-9.102571106E-1,-1.001716919E0,7.500303040E0,7.621453305E0
7.953893333E-1,-4.331991577E-1,-1.960622864E0,7.182962952E0,7.458328250E0
8.054353333E-1,1.935475159E-1,-2.145189056E0,7.155120850E0,7.472285534E0
8.154823333E-1,-2.604583740E-2,-1.880240021E0,7.808362427E0,8.031594157E0
8.255293333E-1,-1.556163940E0,-8.765771484E-1,8.713230743E0,8.894404066E0
8.355753333E-1,-3.414549408E0,6.691085815E-2,7.866741028E0,8.576085303E0
8.456223333E-1,-4.340673523E0,5.538482666E-2,6.518345032E0,7.831560257E0
8.556683333E-1,-3.836072845E0,-4.040098572E-1,6.775510254E0,7.796551676E0
8.657153333E-1,-2.596650238E0,-1.667532349E-1,8.071964264E0,8.480979081E0
8.757623333E-1,-1.991159363E0,2.231858826E-1,9.177565155E0,9.393733535E0
8.858083333E-1,-1.830842743E0,-8.277786255E-2,1.080138840E1,1.095576691E1
8.958553333E-1,-1.557361450E0,-5.447172546E-1,1.196940948E1,1.208258478E1
9.059023333E-1,-8.907975769E-1,-1.044078827E0,1.346405136E1,1.353382060E1
9.159483333E-1,-6.683601379E-1,-1.476230164E0,1.348470840E1,1.358172749E1
9.259953333E-1,-6.453080750E-1,-1.182540894E0,1.257939102E1,1.265132025E1
9.360413333E-1,-8.196954346E-1,-6.637197876E-1,1.156959091E1,1.161756680E1
9.460883333E-1,-8.801696777E-1,-6.385720825E-1,1.065589096E1,1.071123173E1
9.561353333E-1,-5.054988098E-1,-1.278491364E0,1.057146652E1,1.066048656E1
9.661813333E-1,-1.059646454E0,-1.809586945E0,1.103610031E1,1.123356424E1
9.762283333E-1,-2.633323975E0,-2.183060303E0,1.038225998E1,1.093121538E1
9.862743333E-1,-2.807112579E0,-2.714754639E0,1.289568329E1,1.347399055E1
9.963213333E-1,-3.278931427E0,-3.325783997E0,1.407029068E1,1.482515802E1
1.006368333E0,-3.108136597E0,-3.276985474E0,1.320898178E1,1.395981184E1
1.016414333E0,-2.255809021E0,-2.505938873E0,1.237446716E1,1.282559322E1
1.026461333E0,-9.854008484E-1,-2.055076447E0,1.257744507E1,1.278227204E1
1.036508333E0,-2.803669739E-1,-2.821183319E0,1.310719345E1,1.341030205E1
1.046554333E0,-1.199755096E0,-3.868106232E0,1.269974075E1,1.332985646E1
1.056601333E0,-2.939886475E0,-4.755760345E0,1.278446457E1,1.395359177E1
1.066647542E0,-3.516337738E0,-5.830525360E0,1.379636032E1,1.538503218E1
1.076694542E0,-3.616479492E0,-5.013075256E0,1.421728500E1,1.550293651E1
1.086741542E0,-2.977458344E0,-3.076402588E0,1.438508606E1,1.500867123E1
1.096787542E0,-2.155667267E0,-2.275567932E0,1.515403702E1,1.547481660E1
1.106834542E0,-1.559307404E0,-1.986069946E0,1.557810516E1,1.578142180E1
1.116880542E0,-1.765129395E0,-6.921606445E-1,1.597013992E1,1.608229266E1
1.126927542E0,-1.391356659E0,-5.292993164E-1,1.623868149E1,1.630677183E1
1.136974542E0,-1.466201019E0,-1.887425079E0,1.635124741E1,1.652499351E1
1.147020542E0,-2.170935516E0,-3.164120178E0,1.650782181E1,1.694794378E1
1.157067542E0,-2.020498352E0,-2.707569580E0,1.537273224E1,1.573957570E1
1.167114542E0,-1.064586182E0,-1.629810791E0,1.411190414E1,1.424554195E1
1.177160542E0,-6.342311096E-1,-1.033001862E0,1.303324722E1,1.308949484E1
1.187207542E0,-7.348219299E-1,-1.052611084E0,1.265707947E1,1.272201297E1
1.197253542E0,-1.377734985E0,-7.185058594E-1,1.292726761E1,1.302031690E1
1.207300542E0,-1.740281067E0,-5.022056580E-1,1.402433624E1,1.414082019E1
1.217347542E0,-1.924398193E0,-4.162843323E-1,1.525313095E1,1.537968156E1
1.227393542E0,-1.435963898E0,-2.205513611E0,1.671544006E1,1.692135394E1
1.237440542E0,-2.496807861E-1,-2.926564178E0,1.534069885E1,1.561935209E1
1.247486542E0,2.933898926E-1,-2.310894470E0,1.380010254E1,1.399532568E1
1.257533542E0,1.899549866E-1,-2.182461548E0,1.278012360E1,1.296652538E1
1.267580542E0,1.513352966E-1,-2.138752441E0,1.195399155E1,1.214475518E1
1.277626542E0,9.238787842E-1,-2.128573608E0,1.088910599E1,1.113359811E1
1.287673542E0,1.962868195E0,-2.605781250E0,9.852511597E0,1.037858045E1
1.297719542E0,2.378404083E0,-3.465892639E0,8.798553314E0,9.751090103E0
1.307766542E0,2.785258026E0,-3.212469635E0,8.971593475E0,9.928097145E0
1.317813542E0,3.661835175E0,-3.381468201E0,9.310339050E0,1.056057656E1
1.327859542E0,2.981799316E0,-3.633993073E0,1.077564194E1,1.175633837E1
1.337906542E0,2.205513611E0,-2.014660492E0,1.293984146E1,1.328015980E1
1.347953542E0,2.180964661E0,8.940907288E-1,1.599259323E1,1.616536555E1
1.357999542E0,-7.536827087E-1,2.916684723E0,1.182870209E1,1.220628037E1
1.368046542E0,-1.503473511E0,2.790048065E0,1.540790909E1,1.573049469E1
1.378092542E0,-6.702611847E0,2.606380005E0,1.683833450E1,1.830977147E1
1.388139542E0,-7.278614044E0,1.236578522E0,1.707424393E1,1.860207393E1
